protocol_version,split_id,subject_id,budget_nights,night_id,night_ordinal,device_id,session_id,sensor_phase,channel_quality_phase,partition,primary_test,start_timestamp,end_timestamp,n_rows
v1.0,v1.0_personalization,User01,0,D0080,14,unknown,User01|unknown|S0015,s1,normal,test,0,D0081 02:28:30,D0081 06:54:02,5344
v1.0,v1.0_personalization,User01,0,D0081,15,unknown,User01|unknown|S0016,s1,normal,test,0,D0081 18:25:16,D0082 06:48:46,14344
v1.0,v1.0_personalization,User01,0,D0082,16,unknown,User01|unknown|S0017,s1,normal,test,1,D0082 17:39:24,D0083 07:04:28,14757
v1.0,v1.0_personalization,User01,0,D0083,17,unknown,User01|unknown|S0018,s1,normal,test,1,D0083 18:10:00,D0084 06:56:48,14786
v1.0,v1.0_personalization,User01,0,D0084,18,unknown,User01|unknown|S0019,s1,normal,test,1,D0084 18:08:52,D0085 06:51:02,15083
v1.0,v1.0_personalization,User01,0,D0085,19,unknown,User01|unknown|S0020,s1,normal,test,1,D0085 18:46:27,D0086 06:32:37,14418
v1.0,v1.0_personalization,User01,0,D0086,20,unknown,User01|unknown|S0021,s1,normal,test,1,D0086 18:56:48,D0087 06:27:22,13734
v1.0,v1.0_personalization,User01,0,D0087,21,unknown,User01|unknown|S0022,s1,normal,test,1,D0087 17:42:42,D0088 06:53:51,16186
v1.0,v1.0_personalization,User01,0,D0088,22,unknown,User01|unknown|S0023,s1,normal,test,1,D0088 18:42:14,D0089 06:27:56,14386
v1.0,v1.0_personalization,User01,0,D0089,23,unknown,User01|unknown|S0024,s1,normal,test,1,D0089 18:39:14,D0090 07:06:53,7540
v1.0,v1.0_personalization,User01,0,D0090,24,unknown,User01|unknown|S0025,s1,normal,test,1,D0090 19:09:36,D0091 08:36:29,8196
v1.0,v1.0_personalization,User01,0,D0091,25,unknown,User01|unknown|S0026,s1,normal,test,1,D0091 18:56:54,D0092 06:26:41,7088
v1.0,v1.0_personalization,User01,0,D0092,26,unknown,User01|unknown|S0027,s1,normal,test,1,D0092 20:29:38,D0093 06:42:45,7014
v1.0,v1.0_personalization,User01,0,D0093,27,unknown,User01|unknown|S0028,s1,normal,test,1,D0093 18:02:47,D0094 06:39:52,7807
v1.0,v1.0_personalization,User01,0,D0094,28,unknown,User01|unknown|S0029,s1,normal,test,1,D0094 17:00:46,D0095 06:30:06,9701
v1.0,v1.0_personalization,User01,0,D0095,29,unknown,User01|unknown|S0030,s1,normal,test,1,D0095 19:36:27,D0096 06:55:40,11430
v1.0,v1.0_personalization,User01,0,D0096,30,unknown,User01|unknown|S0031,s1,normal,test,1,D0096 18:17:43,D0097 06:25:01,14190
v1.0,v1.0_personalization,User01,0,D0097,31,unknown,User01|unknown|S0032,s1,normal,test,1,D0097 18:26:39,D0098 07:53:16,16085
v1.0,v1.0_personalization,User01,0,D0098,32,unknown,User01|unknown|S0033,s1,normal,test,1,D0098 18:33:28,D0099 06:19:46,13699
v1.0,v1.0_personalization,User01,0,D0099,33,unknown,User01|unknown|S0034,s1,normal,test,1,D0099 18:14:39,D0100 06:36:17,14144
v1.0,v1.0_personalization,User01,0,D0100,34,unknown,User01|unknown|S0035,s1,normal,test,1,D0100 18:25:40,D0101 07:14:48,14609
v1.0,v1.0_personalization,User01,0,D0101,35,unknown,User01|unknown|S0036,s1,normal,test,1,D0101 18:52:37,D0102 06:53:17,13333
v1.0,v1.0_personalization,User01,0,D0102,36,unknown,User01|unknown|S0037,s1,normal,test,1,D0102 17:53:00,D0103 06:46:01,14655
v1.0,v1.0_personalization,User01,0,D0103,37,unknown,User01|unknown|S0038,s1,normal,test,1,D0103 18:43:31,D0104 07:43:47,15858
v1.0,v1.0_personalization,User01,0,D0104,38,unknown,User01|unknown|S0039,s1,normal,test,1,D0104 20:02:20,D0105 09:14:10,16744
v1.0,v1.0_personalization,User01,0,D0105,39,unknown,User01|unknown|S0040,s1,normal,test,1,D0105 20:26:07,D0106 07:11:58,13705
v1.0,v1.0_personalization,User01,0,D0106,40,unknown,User01|unknown|S0041,s1,normal,test,1,D0106 20:00:15,D0107 06:07:39,12906
v1.0,v1.0_personalization,User01,0,D0107,41,unknown,User01|unknown|S0042,s1,normal,test,1,D0107 18:18:10,D0108 06:41:02,15621
v1.0,v1.0_personalization,User01,0,D0108,42,unknown,User01|unknown|S0043,s1,normal,test,1,D0108 19:36:14,D0109 06:53:44,14685
v1.0,v1.0_personalization,User01,0,D0109,43,unknown,User01|unknown|S0044,s1,normal,test,1,D0109 18:14:17,D0110 06:34:28,16080
v1.0,v1.0_personalization,User01,0,D0110,44,unknown,User01|unknown|S0045,s1,normal,test,1,D0110 19:16:38,D0111 08:10:31,16907
v1.0,v1.0_personalization,User01,0,D0111,45,unknown,User01|unknown|S0046,s1,normal,test,1,D0111 19:01:37,D0112 08:28:42,16051
v1.0,v1.0_personalization,User01,0,D0112,46,unknown,User01|unknown|S0047,s1,normal,test,1,D0112 19:12:40,D0113 07:34:44,14728
v1.0,v1.0_personalization,User01,0,D0113,47,unknown,User01|unknown|S0048,s1,normal,test,1,D0113 21:01:25,D0114 08:10:59,14594
v1.0,v1.0_personalization,User01,0,D0114,48,unknown,User01|unknown|S0049,s1,normal,test,1,D0114 18:31:47,D0115 07:22:15,16794
v1.0,v1.0_personalization,User01,0,D0115,49,unknown,User01|unknown|S0050,s1,normal,test,1,D0115 18:46:59,D0116 06:47:28,15694
v1.0,v1.0_personalization,User01,0,D0116,50,unknown,User01|unknown|S0051,s1,normal,test,1,D0116 18:25:20,D0117 06:55:49,16393
v1.0,v1.0_personalization,User01,0,D0117,51,unknown,User01|unknown|S0052,s1,normal,test,1,D0117 18:02:25,D0118 09:03:09,19558
v1.0,v1.0_personalization,User01,0,D0118,52,unknown,User01|unknown|S0053,s1,normal,test,1,D0118 18:39:16,D0119 08:09:50,16812
v1.0,v1.0_personalization,User01,0,D0119,53,unknown,User01|unknown|S0054,s1,normal,test,1,D0119 18:31:11,D0120 06:01:42,14471
v1.0,v1.0_personalization,User01,0,D0120,54,unknown,User01|unknown|S0055,s1,normal,test,1,D0120 18:03:35,D0121 06:34:35,15284
v1.0,v1.0_personalization,User01,0,D0121,55,unknown,User01|unknown|S0056,s1,normal,test,1,D0121 17:34:19,D0122 06:38:07,16242
v1.0,v1.0_personalization,User01,0,D0122,56,unknown,User01|unknown|S0057,s1,normal,test,1,D0122 19:07:56,D0123 08:08:34,15986
v1.0,v1.0_personalization,User01,0,D0123,57,unknown,User01|unknown|S0058,s1,normal,test,1,D0123 20:06:52,D0124 07:07:51,13753
v1.0,v1.0_personalization,User01,0,D0124,58,unknown,User01|unknown|S0059,s1,normal,test,1,D0124 19:53:51,D0125 09:34:07,13379
v1.0,v1.0_personalization,User01,0,D0125,59,unknown,User01|unknown|S0060,s1,normal,test,1,D0125 21:33:30,D0126 08:41:11,9225
v1.0,v1.0_personalization,User01,0,D0125,59,unknown,User01|unknown|S0061,s1,normal,test,1,D0126 10:19:40,D0126 11:59:57,1029
v1.0,v1.0_personalization,User01,0,D0126,60,unknown,User01|unknown|S0061,s1,normal,test,1,D0126 12:00:00,D0126 13:55:29,1284
v1.0,v1.0_personalization,User01,0,D0126,60,unknown,User01|unknown|S0062,s1,normal,test,1,D0126 14:29:49,D0126 15:29:48,1012
v1.0,v1.0_personalization,User01,0,D0126,60,unknown,User01|unknown|S0063,s1,normal,test,1,D0126 18:08:08,D0127 05:46:55,11053
v1.0,v1.0_personalization,User01,0,D0127,61,unknown,User01|unknown|S0064,s1,normal,test,1,D0127 18:33:10,D0128 06:11:17,9422
v1.0,v1.0_personalization,User01,0,D0128,62,unknown,User01|unknown|S0065,s1,normal,test,1,D0128 18:35:55,D0129 05:43:42,8868
v1.0,v1.0_personalization,User01,0,D0128,62,unknown,User01|unknown|S0066,s1,normal,test,1,D0129 06:14:11,D0129 06:44:26,324
v1.0,v1.0_personalization,User01,0,D0129,63,unknown,User01|unknown|S0067,s1,normal,test,1,D0129 18:00:48,D0130 07:41:55,10516
v1.0,v1.0_personalization,User01,0,D0130,64,unknown,User01|unknown|S0068,s1,normal,test,1,D0130 17:54:37,D0131 06:32:53,9625
v1.0,v1.0_personalization,User01,0,D0131,65,unknown,User01|unknown|S0069,s1,normal,test,1,D0131 18:20:08,D0132 07:28:45,10621
v1.0,v1.0_personalization,User01,0,D0132,66,unknown,User01|unknown|S0070,s1,normal,test,1,D0132 17:42:25,D0133 08:12:29,26103
v1.0,v1.0_personalization,User01,0,D0133,67,unknown,User01|unknown|S0071,s1,normal,test,1,D0133 17:46:03,D0134 06:16:06,22503
v1.0,v1.0_personalization,User01,0,D0134,68,unknown,User01|unknown|S0072,s1,normal,test,1,D0134 18:27:41,D0135 05:27:41,19803
v1.0,v1.0_personalization,User01,0,D0134,68,unknown,User01|unknown|S0073,s1,normal,test,1,D0135 06:17:01,D0135 06:45:56,869
v1.0,v1.0_personalization,User01,0,D0135,69,unknown,User01|unknown|S0074,s1,normal,test,1,D0135 22:02:10,D0136 06:37:58,15412
v1.0,v1.0_personalization,User01,0,D0136,70,unknown,User01|unknown|S0075,s1,normal,test,1,D0136 18:02:02,D0137 06:13:36,14632
v1.0,v1.0_personalization,User01,0,D0137,71,unknown,User01|unknown|S0076,s1,normal,test,1,D0137 17:21:29,D0138 06:21:36,15604
v1.0,v1.0_personalization,User01,0,D0138,72,unknown,User01|unknown|S0077,s1,normal,test,1,D0138 18:03:20,D0139 07:03:26,15603
v1.0,v1.0_personalization,User01,0,D0139,73,unknown,User01|unknown|S0078,s1,normal,test,1,D0139 19:05:19,D0140 07:35:23,15002
v1.0,v1.0_personalization,User01,0,D0140,74,unknown,User01|unknown|S0079,s1,normal,test,1,D0140 18:21:01,D0141 06:21:07,14403
v1.0,v1.0_personalization,User01,0,D0141,75,unknown,User01|unknown|S0080,s1,normal,test,1,D0141 18:04:50,D0142 06:04:56,14403
v1.0,v1.0_personalization,User01,0,D0142,76,unknown,User01|unknown|S0081,s1,normal,test,1,D0142 17:57:14,D0143 06:27:16,15002
v1.0,v1.0_personalization,User01,0,D0143,77,unknown,User01|unknown|S0082,s1,normal,test,1,D0143 18:00:57,D0144 06:00:57,14402
v1.0,v1.0_personalization,User01,0,D0144,78,unknown,User01|unknown|S0083,s1,normal,test,1,D0144 18:11:46,D0145 06:11:56,14404
v1.0,v1.0_personalization,User01,0,D0145,79,unknown,User01|unknown|S0084,s1,normal,test,1,D0145 18:52:54,D0146 07:22:59,15003
v1.0,v1.0_personalization,User01,0,D0146,80,unknown,User01|unknown|S0085,s1,normal,test,1,D0146 18:20:54,D0147 07:51:03,16204
v1.0,v1.0_personalization,User01,0,D0147,81,unknown,User01|unknown|S0086,s1,normal,test,1,D0147 17:33:34,D0148 06:33:37,15602
v1.0,v1.0_personalization,User01,0,D0149,82,unknown,User01|unknown|S0087,s1,normal,test,1,D0149 18:03:35,D0150 05:33:36,13802
v1.0,v1.0_personalization,User01,0,D0150,83,unknown,User01|unknown|S0088,s1,normal,test,1,D0150 17:56:40,D0151 05:56:41,14402
v1.0,v1.0_personalization,User01,0,D0151,84,unknown,User01|unknown|S0089,s1,normal,test,1,D0151 18:57:05,D0152 06:27:09,13803
v1.0,v1.0_personalization,User01,0,D0152,85,unknown,User01|unknown|S0090,s1,normal,test,1,D0152 18:17:21,D0153 06:47:24,15003
v1.0,v1.0_personalization,User01,0,D0153,86,unknown,User01|unknown|S0091,s1,normal,test,1,D0153 18:07:21,D0154 08:07:26,16803
v1.0,v1.0_personalization,User01,0,D0154,87,unknown,User01|unknown|S0092,s2,normal,test,1,D0154 17:31:21,D0155 06:31:24,15602
v1.0,v1.0_personalization,User01,0,D0155,88,unknown,User01|unknown|S0093,s2,normal,test,1,D0155 18:43:31,D0156 06:43:34,14403
v1.0,v1.0_personalization,User01,0,D0156,89,unknown,User01|unknown|S0094,s2,normal,test,1,D0156 18:02:27,D0157 06:32:27,15002
v1.0,v1.0_personalization,User01,0,D0157,90,unknown,User01|unknown|S0095,s2,normal,test,1,D0157 18:33:41,D0158 06:33:46,14403
v1.0,v1.0_personalization,User01,0,D0158,91,unknown,User01|unknown|S0096,s2,normal,test,1,D0158 18:22:25,D0159 06:22:30,14403
v1.0,v1.0_personalization,User01,0,D0159,92,unknown,User01|unknown|S0097,s2,normal,test,1,D0159 18:25:39,D0160 07:25:45,15603
v1.0,v1.0_personalization,User01,0,D0160,93,unknown,User01|unknown|S0098,s2,normal,test,1,D0160 18:38:53,D0161 08:39:00,16804
v1.0,v1.0_personalization,User01,0,D0162,94,unknown,User01|unknown|S0099,s2,normal,test,1,D0162 18:08:33,D0163 06:39:36,15022
v1.0,v1.0_personalization,User01,0,D0163,95,unknown,User01|unknown|S0100,s2,normal,test,1,D0163 17:53:05,D0164 06:53:08,15602
v1.0,v1.0_personalization,User01,0,D0164,96,unknown,User01|unknown|S0101,s2,normal,test,1,D0164 18:20:05,D0165 06:50:09,15002
v1.0,v1.0_personalization,User01,0,D0165,97,unknown,User01|unknown|S0102,s2,normal,test,1,D0165 18:22:21,D0166 06:52:19,15001
v1.0,v1.0_personalization,User01,0,D0166,98,unknown,User01|unknown|S0103,s2,normal,test,1,D0166 18:03:23,D0167 08:03:28,16803
v1.0,v1.0_personalization,User01,0,D0167,99,unknown,User01|unknown|S0104,s2,normal,test,1,D0167 18:08:00,D0168 08:38:03,17402
v1.0,v1.0_personalization,User01,0,D0168,100,unknown,User01|unknown|S0105,s2,normal,test,1,D0168 18:11:58,D0169 06:12:04,14403
v1.0,v1.0_personalization,User01,0,D0170,101,unknown,User01|unknown|S0106,s2,normal,test,1,D0170 18:24:19,D0171 06:24:26,14352
v1.0,v1.0_personalization,User01,0,D0171,102,unknown,User01|unknown|S0107,s2,normal,test,1,D0171 18:13:57,D0172 06:14:03,14403
v1.0,v1.0_personalization,User01,0,D0172,103,unknown,User01|unknown|S0108,s2,normal,test,1,D0172 17:48:25,D0173 06:48:33,15574
v1.0,v1.0_personalization,User01,0,D0173,104,unknown,User01|unknown|S0109,s2,normal,test,1,D0173 18:11:52,D0174 08:12:07,16806
v1.0,v1.0_personalization,User01,0,D0174,105,unknown,User01|unknown|S0110,s2,normal,test,1,D0174 20:18:22,D0175 07:18:21,13201
v1.0,v1.0_personalization,User01,0,D0175,106,unknown,User01|unknown|S0111,s2,normal,test,1,D0175 20:18:07,D0176 08:18:14,14404
v1.0,v1.0_personalization,User01,0,D0176,107,unknown,User01|unknown|S0112,s2,normal,test,1,D0176 18:25:07,D0177 05:25:08,13202
v1.0,v1.0_personalization,User01,0,D0177,108,unknown,User01|unknown|S0113,s2,normal,test,1,D0177 15:18:38,D0177 16:48:34,1800
v1.0,v1.0_personalization,User01,0,D0177,108,unknown,User01|unknown|S0114,s2,normal,test,1,D0177 18:30:12,D0178 07:00:20,14983
v1.0,v1.0_personalization,User01,0,D0178,109,unknown,User01|unknown|S0115,s2,normal,test,1,D0178 18:42:28,D0179 06:12:37,13804
v1.0,v1.0_personalization,User01,0,D0179,110,unknown,User01|unknown|S0116,s2,normal,test,1,D0179 18:21:50,D0180 06:21:50,14402
v1.0,v1.0_personalization,User01,0,D0180,111,unknown,User01|unknown|S0117,s2,normal,test,1,D0180 18:30:36,D0181 07:30:43,15604
v1.0,v1.0_personalization,User01,0,D0181,112,unknown,User01|unknown|S0118,s2,normal,test,1,D0181 18:35:23,D0182 10:35:32,19204
v1.0,v1.0_personalization,User01,0,D0182,113,unknown,User01|unknown|S0119,s2,normal,test,1,D0182 18:03:04,D0183 07:33:10,16204
v1.0,v1.0_personalization,User01,0,D0183,114,unknown,User01|unknown|S0120,s2,normal,test,1,D0183 18:46:32,D0184 06:46:37,14403
v1.0,v1.0_personalization,User01,0,D0184,115,unknown,User01|unknown|S0121,s2,normal,test,1,D0184 20:54:23,D0185 06:26:59,9868
v1.0,v1.0_personalization,User01,0,D0185,116,unknown,User01|unknown|S0122,s2,normal,test,1,D0185 18:27:05,D0186 06:27:19,14405
v1.0,v1.0_personalization,User01,0,D0186,117,unknown,User01|unknown|S0123,s2,normal,test,1,D0186 18:41:00,D0187 07:11:06,15003
v1.0,v1.0_personalization,User01,0,D0187,118,unknown,User01|unknown|S0124,s2,normal,test,1,D0187 19:46:02,D0188 08:16:11,14952
v1.0,v1.0_personalization,User01,0,D0188,119,unknown,User01|unknown|S0125,s2,normal,test,1,D0188 18:53:21,D0189 07:23:28,15004
v1.0,v1.0_personalization,User01,0,D0189,120,unknown,User01|unknown|S0126,s2,normal,test,1,D0189 18:37:06,D0190 08:37:11,16781
v1.0,v1.0_personalization,User01,0,D0190,121,unknown,User01|unknown|S0127,s2,normal,test,1,D0190 18:17:05,D0191 06:47:08,15003
v1.0,v1.0_personalization,User01,0,D0191,122,unknown,User01|unknown|S0128,s2,normal,test,1,D0191 18:33:02,D0192 06:03:09,13804
v1.0,v1.0_personalization,User01,0,D0192,123,unknown,User01|unknown|S0129,s2,normal,test,1,D0192 19:09:39,D0193 06:39:41,13802
v1.0,v1.0_personalization,User01,0,D0193,124,unknown,User01|unknown|S0130,s2,normal,test,1,D0193 21:11:02,D0194 06:10:59,10801
v1.0,v1.0_personalization,User01,0,D0194,125,unknown,User01|unknown|S0131,s2,normal,test,1,D0194 18:45:49,D0195 07:46:03,15605
v1.0,v1.0_personalization,User01,0,D0195,126,unknown,User01|unknown|S0132,s2,normal,test,1,D0195 19:00:57,D0196 07:31:05,15004
v1.0,v1.0_personalization,User01,0,D0196,127,unknown,User01|unknown|S0133,s2,normal,test,1,D0196 18:24:29,D0197 06:54:30,15002
v1.0,v1.0_personalization,User01,0,D0197,128,unknown,User01|unknown|S0134,s2,normal,test,1,D0197 18:21:14,D0198 06:51:16,15003
v1.0,v1.0_personalization,User01,0,D0198,129,unknown,User01|unknown|S0135,s2,normal,test,1,D0198 18:53:41,D0199 06:53:53,14312
v1.0,v1.0_personalization,User01,0,D0199,130,unknown,User01|unknown|S0136,s2,normal,test,1,D0199 18:35:39,D0200 07:36:33,15578
v1.0,v1.0_personalization,User01,0,D0200,131,unknown,User01|unknown|S0137,s2,normal,test,1,D0200 18:14:41,D0201 06:44:49,15004
v1.0,v1.0_personalization,User01,0,D0201,132,unknown,User01|unknown|S0138,s2,normal,test,1,D0201 18:41:12,D0202 07:41:12,15602
v1.0,v1.0_personalization,User01,0,D0202,133,unknown,User01|unknown|S0139,s2,normal,test,1,D0202 19:16:44,D0203 07:16:50,14403
v1.0,v1.0_personalization,User01,0,D0203,134,unknown,User01|unknown|S0140,s2,normal,test,1,D0203 18:14:27,D0204 06:44:30,15003
v1.0,v1.0_personalization,User01,0,D0204,135,unknown,User01|unknown|S0141,s2,normal,test,1,D0204 18:27:30,D0205 06:27:36,14403
v1.0,v1.0_personalization,User01,0,D0205,136,unknown,User01|unknown|S0142,s2,normal,test,1,D0205 18:34:08,D0206 06:34:15,14361
v1.0,v1.0_personalization,User01,0,D0206,137,unknown,User01|unknown|S0143,s2,normal,test,1,D0206 18:31:04,D0207 06:31:07,14402
v1.0,v1.0_personalization,User01,0,D0207,138,unknown,User01|unknown|S0144,s2,normal,test,1,D0207 20:22:05,D0208 06:52:09,12603
v1.0,v1.0_personalization,User01,0,D0208,139,unknown,User01|unknown|S0145,s2,normal,test,1,D0208 18:44:44,D0209 07:44:55,15605
v1.0,v1.0_personalization,User01,0,D0209,140,unknown,User01|unknown|S0146,s2,normal,test,1,D0209 18:43:31,D0210 07:43:37,15604
v1.0,v1.0_personalization,User01,0,D0210,141,unknown,User01|unknown|S0147,s2,normal,test,1,D0210 20:14:15,D0211 06:44:21,12603
v1.0,v1.0_personalization,User01,0,D0211,142,unknown,User01|unknown|S0148,s2,normal,test,1,D0211 19:52:28,D0212 07:22:33,13803
v1.0,v1.0_personalization,User01,0,D0212,143,unknown,User01|unknown|S0149,s2,normal,test,1,D0212 19:38:56,D0213 06:39:01,13203
v1.0,v1.0_personalization,User01,0,D0213,144,unknown,User01|unknown|S0150,s2,normal,test,1,D0213 19:14:18,D0214 06:14:23,13203
v1.0,v1.0_personalization,User01,0,D0214,145,unknown,User01|unknown|S0151,s2,normal,test,1,D0214 18:57:07,D0215 05:57:13,13203
v1.0,v1.0_personalization,User01,0,D0215,146,unknown,User01|unknown|S0152,s2,normal,test,1,D0215 18:28:14,D0216 06:58:15,15002
v1.0,v1.0_personalization,User01,0,D0216,147,unknown,User01|unknown|S0153,s2,normal,test,1,D0216 19:14:36,D0217 06:44:40,13802
v1.0,v1.0_personalization,User01,0,D0217,148,unknown,User01|unknown|S0154,s2,normal,test,1,D0217 19:49:43,D0218 06:49:45,13203
v1.0,v1.0_personalization,User01,0,D0218,149,unknown,User01|unknown|S0155,s2,normal,test,1,D0218 18:43:26,D0219 06:13:29,13803
v1.0,v1.0_personalization,User01,0,D0219,150,unknown,User01|unknown|S0156,s2,normal,test,1,D0219 19:35:32,D0220 06:35:37,13167
v1.0,v1.0_personalization,User01,0,D0220,151,unknown,User01|unknown|S0157,s2,normal,test,1,D0220 19:10:38,D0221 06:40:38,13802
v1.0,v1.0_personalization,User01,1,D0001,1,unknown,User01|unknown|S0001,s1,normal,adaptation,0,D0001 22:21:51,D0002 04:24:30,10764
v1.0,v1.0_personalization,User01,1,D0002,2,unknown,User01|unknown|S0002,s1,normal,buffer,0,D0002 21:10:16,D0003 01:56:55,8496
v1.0,v1.0_personalization,User01,1,D0004,3,unknown,User01|unknown|S0003,s1,normal,test,0,D0004 22:13:40,D0005 04:21:57,10926
v1.0,v1.0_personalization,User01,1,D0005,4,unknown,User01|unknown|S0004,s1,normal,test,0,D0005 21:41:46,D0006 02:11:44,8009
v1.0,v1.0_personalization,User01,1,D0006,5,unknown,User01|unknown|S0005,s1,normal,test,0,D0006 21:10:47,D0007 02:40:05,9773
v1.0,v1.0_personalization,User01,1,D0007,6,unknown,User01|unknown|S0006,s1,normal,test,0,D0007 21:15:00,D0008 01:54:16,8276
v1.0,v1.0_personalization,User01,1,D0073,7,unknown,User01|unknown|S0007,s1,normal,test,0,D0073 19:23:17,D0074 07:06:23,14033
v1.0,v1.0_personalization,User01,1,D0074,8,unknown,User01|unknown|S0008,s1,normal,test,0,D0074 18:17:20,D0075 06:08:26,14275
v1.0,v1.0_personalization,User01,1,D0075,9,unknown,User01|unknown|S0009,s1,normal,test,0,D0075 18:47:34,D0076 06:48:12,14069
v1.0,v1.0_personalization,User01,1,D0076,10,unknown,User01|unknown|S0010,s1,normal,test,0,D0076 18:32:44,D0077 07:01:19,14378
v1.0,v1.0_personalization,User01,1,D0077,11,unknown,User01|unknown|S0011,s1,normal,test,0,D0077 18:13:39,D0078 06:07:55,13988
v1.0,v1.0_personalization,User01,1,D0078,12,unknown,User01|unknown|S0012,s1,normal,test,0,D0078 18:09:08,D0079 06:27:26,14660
v1.0,v1.0_personalization,User01,1,D0079,13,unknown,User01|unknown|S0013,s1,normal,test,0,D0079 17:39:02,D0080 06:21:39,15160
v1.0,v1.0_personalization,User01,1,D0080,14,unknown,User01|unknown|S0014,s1,normal,test,0,D0080 19:13:49,D0080 23:34:03,5365
v1.0,v1.0_personalization,User01,1,D0080,14,unknown,User01|unknown|S0015,s1,normal,test,0,D0081 02:28:30,D0081 06:54:02,5344
v1.0,v1.0_personalization,User01,1,D0081,15,unknown,User01|unknown|S0016,s1,normal,test,0,D0081 18:25:16,D0082 06:48:46,14344
v1.0,v1.0_personalization,User01,1,D0082,16,unknown,User01|unknown|S0017,s1,normal,test,1,D0082 17:39:24,D0083 07:04:28,14757
v1.0,v1.0_personalization,User01,1,D0083,17,unknown,User01|unknown|S0018,s1,normal,test,1,D0083 18:10:00,D0084 06:56:48,14786
v1.0,v1.0_personalization,User01,1,D0084,18,unknown,User01|unknown|S0019,s1,normal,test,1,D0084 18:08:52,D0085 06:51:02,15083
v1.0,v1.0_personalization,User01,1,D0085,19,unknown,User01|unknown|S0020,s1,normal,test,1,D0085 18:46:27,D0086 06:32:37,14418
v1.0,v1.0_personalization,User01,1,D0086,20,unknown,User01|unknown|S0021,s1,normal,test,1,D0086 18:56:48,D0087 06:27:22,13734
v1.0,v1.0_personalization,User01,1,D0087,21,unknown,User01|unknown|S0022,s1,normal,test,1,D0087 17:42:42,D0088 06:53:51,16186
v1.0,v1.0_personalization,User01,1,D0088,22,unknown,User01|unknown|S0023,s1,normal,test,1,D0088 18:42:14,D0089 06:27:56,14386
v1.0,v1.0_personalization,User01,1,D0089,23,unknown,User01|unknown|S0024,s1,normal,test,1,D0089 18:39:14,D0090 07:06:53,7540
v1.0,v1.0_personalization,User01,1,D0090,24,unknown,User01|unknown|S0025,s1,normal,test,1,D0090 19:09:36,D0091 08:36:29,8196
v1.0,v1.0_personalization,User01,1,D0091,25,unknown,User01|unknown|S0026,s1,normal,test,1,D0091 18:56:54,D0092 06:26:41,7088
v1.0,v1.0_personalization,User01,1,D0092,26,unknown,User01|unknown|S0027,s1,normal,test,1,D0092 20:29:38,D0093 06:42:45,7014
v1.0,v1.0_personalization,User01,1,D0093,27,unknown,User01|unknown|S0028,s1,normal,test,1,D0093 18:02:47,D0094 06:39:52,7807
v1.0,v1.0_personalization,User01,1,D0094,28,unknown,User01|unknown|S0029,s1,normal,test,1,D0094 17:00:46,D0095 06:30:06,9701
v1.0,v1.0_personalization,User01,1,D0095,29,unknown,User01|unknown|S0030,s1,normal,test,1,D0095 19:36:27,D0096 06:55:40,11430
v1.0,v1.0_personalization,User01,1,D0096,30,unknown,User01|unknown|S0031,s1,normal,test,1,D0096 18:17:43,D0097 06:25:01,14190
